,context-size,context_columns,prefix_index,dateset,accuracy,precision,fscore,recall,model_type,token_type
232,1,['org:group'],141,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
233,1,['org:group'],142,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
234,1,['org:group'],143,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
235,1,['org:group'],144,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
236,1,['org:group'],145,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
237,1,['org:group'],146,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
238,1,['org:group'],147,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
239,1,['org:group'],148,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
240,1,['org:group'],149,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
241,1,['org:group'],15,sepsis,0.42105263157894735,0.324360910181843,0.342029267223069,0.42105263157894735,transformer-single,Max Case Length
242,1,['org:group'],150,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
243,1,['org:group'],151,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
244,1,['org:group'],152,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
245,1,['org:group'],153,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
246,1,['org:group'],154,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
247,1,['org:group'],155,sepsis,0.0,0.0,0.0,0.0,transformer-single,Max Case Length
248,1,['org:group'],156,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
249,1,['org:group'],157,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
250,1,['org:group'],158,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
251,1,['org:group'],159,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
252,1,['org:group'],16,sepsis,0.4645669291338583,0.40162073795456693,0.38275432824877015,0.4645669291338583,transformer-single,Max Case Length
253,1,['org:group'],160,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
254,1,['org:group'],161,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
255,1,['org:group'],162,sepsis,1.0,1.0,1.0,1.0,transformer-single,Max Case Length
256,1,['org:group'],163,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
257,1,['org:group'],164,sepsis,0.5,0.5,0.5,0.5,transformer-single,Max Case Length
